ID	Concept	Doculect	Value
465	friend (male)	BKB-Mashi-2	nan
466	friend (male)	KFK-Mashi-1	nan
467	friend (male)	ABS-Missong-1	nan
468	friend (male)	AGA-Missong-2	nan
469	family	NVB-Abar-7	nan
470	family	ECL-Abar-8	nan
471	family	NEM-Ajumbu-9	nan
472	family	KDC-Ajumbu-10	nan
473	family	ENB-Biya-1	nan
474	family	ICN-Biya-2	nan
475	family	NNB-Buu-3	nan
476	family	MNJ-Buu-4	nan
477	family	KHK-Fang-12	nan
478	family	DPN-Fang-13	nan
479	family	JGY-Koshin-3	nan
480	family	TEL-Koshin-4	nan
481	family	KCS-Kung-3	nan
482	family	NJS-Kung-4	nan
483	family	NMN-Mundabli-3	nan
484	family	CEN-Mundabli-2	nan
485	family	NGT-Munken-3	nan
486	family	NUN-Munken-4	nan
487	family	MCA-Ngun-3	nan
488	family	KBM-Ngun-4	nan
489	family	APB-Mumfu-1	tʃʊ̀ / tsʊ̀~tʃʊ̀yə́
490	family	DNM-Mumfu-2	ø
491	family	BKB-Mashi-2	tém / bʊ̀tém
492	family	KFK-Mashi-1	kxə̀ / kák
493	family	ABS-Missong-1	ìtʃù / kítʃúlə̄
494	family	AGA-Missong-2	ɪ̀tsù / átʃúwú ~ kɪ́tʃúlə̄
495	crowd, group	NVB-Abar-7	nan
496	crowd, group	ECL-Abar-8	nan
497	crowd, group	NEM-Ajumbu-9	nan
498	crowd, group	KDC-Ajumbu-10	nan
499	crowd, group	ENB-Biya-1	nan
500	crowd, group	ICN-Biya-2	nan
501	crowd, group	NNB-Buu-3	nan
502	crowd, group	MNJ-Buu-4	nan
503	crowd, group	KHK-Fang-12	nan
504	crowd, group	DPN-Fang-13	nan
505	crowd, group	JGY-Koshin-3	nan
506	crowd, group	TEL-Koshin-4	nan
507	crowd, group	KCS-Kung-3	nan
508	crowd, group	NJS-Kung-4	nan
509	crowd, group	NMN-Mundabli-3	nan
510	crowd, group	CEN-Mundabli-2	nan
511	crowd, group	NGT-Munken-3	nan
512	crowd, group	NUN-Munken-4	nan
513	crowd, group	MCA-Ngun-3	nan
514	crowd, group	KBM-Ngun-4	nan
