ID	Concept	Doculect	Value
328	ear	CEN-Mundabli-2	tʃʊ́ŋ / tʃɔ́m
329	ear	NGT-Munken-3	àtɔ́ŋ / bìtɔ́ŋ
330	ear	NUN-Munken-4	átɔ́ŋ / bítɔ́ŋ
331	ear	MCA-Ngun-3	kə̀tɔ́ŋə́~àtɔ́ŋə́ / bìtɔ́ŋə́~ɪ̀tɔ́ŋə́
332	ear	KBM-Ngun-4	kə̀tɔ́ŋə́ / bìtɔ́ŋə́
333	ear	APB-Mumfu-1	tʃɔ́m / tʃɔ́mbə́~tʃɔ́m / tʃɔ́m
334	ear	DNM-Mumfu-2	tʃɔ́ːn / tʃɔ́mbɛ́
335	ear	BKB-Mashi-2	átʰʊ̂ / bítʊ́
336	ear	KFK-Mashi-1	átʊ́ / bítʊ́
337	ear	ABS-Missong-1	kìntʃʊ́ŋ / bìntʃʊ́ŋ
338	ear	AGA-Missong-2	kìntʃʊ́ŋ / bìntʃʊ́ŋbī
339	jaw	NVB-Abar-7	kə̀ⁿbàŋó / m̀bàŋə́bî~ɪ̀mbàŋə́
340	jaw	ECL-Abar-8	kə̀ⁿbàŋó~ⁿbàŋó / bìⁿbàŋó~ⁿbàŋó
341	jaw	NEM-Ajumbu-9	kə̀ⁿbàŋ / bə̀ⁿbàŋ
342	jaw	KDC-Ajumbu-10	kə̀ⁿbàŋ / bə̀ⁿbàŋ
343	jaw	ENB-Biya-1	kə̀jó / bìjó
344	jaw	ICN-Biya-2	kə̀jɔ́hɔ̄ / bìjɔ́hɔ̄
345	jaw	NNB-Buu-3	kə̀mbàŋ / bə̀mbàŋ
346	jaw	MNJ-Buu-4	kə̀mbàŋ / bə̀mbàŋ
347	jaw	KHK-Fang-12	kə̀ⁿbàŋ / bə̀ⁿbàŋ
348	jaw	DPN-Fang-13	kə̀ⁿbàŋ / bə̀ⁿbàŋ
349	jaw	JGY-Koshin-3	kə̀mbàŋ / bə̀mbàŋ
350	jaw	TEL-Koshin-4	kə̀mbàŋ / bə̀mbàŋ
351	jaw	KCS-Kung-3	bɔ́ŋɪ̀ / bɔ̂ŋsə̀ ~ bɔ̂ŋ
