ConceptA	ConceptB	ChisqResidual	NumForms
animal_21	blood_279	2.730546163854619	3
animal_26	blood_271	2.7397312734975294	5
animal_29	blood_279	3.2906581974658233	1
animal_36	blood_292	4.653693451990369	2
animal_19	broom_409	3.175536744149779	12
animal_21	broom_409	2.750095491084634	9
animal_22	broom_409	-2.869720215917757	0
animal_22	broom_418	2.170434130243415	5
animal_26	broom_412	3.7762745602468053	5
animal_29	broom_420	7.001400420140049	1
animal_36	broom_415	5.144957554275265	4
animal_19	cap_449	3.517632353407242	4
animal_21	cap_451	3.932832531035579	5
animal_26	cap_452	4.714236520798036	5
animal_36	cap_458	2.4120907566221086	3
animal_19	case (court) (n)_460	2.257363862999788	8
animal_21	case (court) (n)_460	3.1314728881118534	9
animal_22	case (court) (n)_460	-2.7105237087157534	0
animal_26	case (court) (n)_472	2.4792052322132134	5
animal_36	case (court) (n)_464	2.928571428571429	2
animal_26	cat_516	4.217180976033087	3
animal_36	cat_515	2.649625033945902	4
animal_21	chair_566	2.1954417207878953	5
animal_22	chair_566	-2.0769510081357425	0
animal_26	chair_558	2.156431329403135	2
animal_36	chair_564	2.178324594548683	4
animal_19	cloth_601	5.366563145999495	9
animal_21	cloth_603	2.459674775249769	3
animal_21	cloth_616	3.577708763999664	4
animal_22	cloth_605	2.352322958661152	11
animal_26	cloth_604	4.787549991450212	5
animal_29	cloth_612	2.6666666666666665	1
animal_19	corn_669	3.072549338995135	12
animal_21	corn_669	2.660905781950872	9
animal_22	corn_669	-2.9807071953842406	0
